timestamp,program,flag,execution_time,pkg1_energy,pkg1_pp0,pkg1_pp1,pkg1_dram,pkg1_psys,pkg2_energy,pkg2_pp0,pkg2_pp1,pkg2_dram,pkg2_psys
Thu May 12 10:29:14 2022,blackscholes,-O0,16711.681000,580.787231,0.000000,0.000000,89.990234,0.000000,389.098145,0.000000,0.000000,56.195786,0.000000
Thu May 12 10:29:46 2022,blackscholes,-O0,16200.935000,562.997437,0.000000,0.000000,86.915039,0.000000,376.397400,0.000000,0.000000,54.208679,0.000000
Thu May 12 10:30:16 2022,blackscholes,-O0,15390.852000,365.903320,0.000000,0.000000,46.330994,0.000000,521.954712,0.000000,0.000000,88.071747,0.000000
Thu May 12 10:30:49 2022,blackscholes,-fcase-merge,15956.121000,491.285767,0.000000,0.000000,73.327728,0.000000,436.250671,0.000000,0.000000,70.000061,0.000000
Thu May 12 10:31:20 2022,blackscholes,-fcase-merge,16168.870000,563.513428,0.000000,0.000000,88.750610,0.000000,376.948303,0.000000,0.000000,55.495880,0.000000
Thu May 12 10:31:51 2022,blackscholes,-fcase-merge,15869.796000,559.469116,0.000000,0.000000,88.635513,0.000000,378.993652,0.000000,0.000000,57.335724,0.000000
Thu May 12 10:32:57 2022,coins,-O0,3298.370000,112.974426,0.000000,0.000000,21.384171,0.000000,76.280457,0.000000,0.000000,11.552277,0.000000
Thu May 12 10:33:15 2022,coins,-O0,3280.105000,111.692139,0.000000,0.000000,21.316437,0.000000,75.411621,0.000000,0.000000,11.277100,0.000000
Thu May 12 10:33:34 2022,coins,-O0,3299.555000,111.894531,0.000000,0.000000,21.284119,0.000000,76.029541,0.000000,0.000000,11.476318,0.000000
Thu May 12 10:33:53 2022,coins,-fcase-merge,3262.771000,112.802551,0.000000,0.000000,21.571747,0.000000,76.198181,0.000000,0.000000,11.507965,0.000000
Thu May 12 10:34:27 2022,coins,-fcase-merge,3292.554000,111.648193,0.000000,0.000000,21.323181,0.000000,76.735535,0.000000,0.000000,11.669800,0.000000
Thu May 12 10:34:55 2022,coins,-fcase-merge,3300.634000,111.969299,0.000000,0.000000,21.191971,0.000000,75.680725,0.000000,0.000000,11.410995,0.000000
